2016-09-09 17:43:39 status installed python-gevent-websocket:all 0.9.3-1
2016-09-09 17:43:39 configure python-gevent-socketio:all 0.3.7.99-1 <none>
2016-09-09 17:43:39 status unpacked python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:39 status half-configured python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:39 status installed python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:39 configure python-psutil:amd64 1.2.1-1ubuntu2 <none>
2016-09-09 17:43:39 status unpacked python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:39 status half-configured python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:39 status installed python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:39 configure python-reconfigure:all 0.1.77 <none>
2016-09-09 17:43:39 status unpacked python-reconfigure:all 0.1.77
2016-09-09 17:43:39 status half-configured python-reconfigure:all 0.1.77
2016-09-09 17:43:39 status installed python-reconfigure:all 0.1.77
2016-09-09 17:43:39 status triggers-pending python-support:all 1.0.15
2016-09-09 17:43:39 configure python-lockfile:all 1:0.8-2ubuntu2 <none>
2016-09-09 17:43:39 status unpacked python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:39 status half-configured python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:39 status installed python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:39 configure python-daemon:all 1.5.5-1ubuntu1 <none>
2016-09-09 17:43:39 status unpacked python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:39 status half-configured python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:39 status installed python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:39 configure python-passlib:all 1.5.3-2 <none>
2016-09-09 17:43:39 status unpacked python-passlib:all 1.5.3-2
2016-09-09 17:43:39 status half-configured python-passlib:all 1.5.3-2
2016-09-09 17:43:39 status installed python-passlib:all 1.5.3-2
2016-09-09 17:43:39 configure python-dbus-dev:all 1.2.0-2build2 <none>
2016-09-09 17:43:39 status unpacked python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:39 status half-configured python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:39 status installed python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:39 configure python-dbus:amd64 1.2.0-2build2 <none>
2016-09-09 17:43:39 status unpacked python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:39 status half-configured python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:40 status installed python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:40 configure python-pil:amd64 2.3.0-1ubuntu3 <none>
2016-09-09 17:43:40 status unpacked python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:40 status half-configured python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:40 status installed python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:40 configure python-imaging:all 2.3.0-1ubuntu3 <none>
2016-09-09 17:43:40 status unpacked python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:40 status half-configured python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:40 status installed python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:40 configure libapt-pkg-perl:amd64 0.1.29build1 <none>
2016-09-09 17:43:40 status unpacked libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:40 status half-configured libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:40 status installed libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:40 configure apt-show-versions:all 0.22.3 <none>
2016-09-09 17:43:40 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:40 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:40 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:40 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:40 status half-configured apt-show-versions:all 0.22.3
